0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
49   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/paul/proj/blacklight/jetty/contexts at interval 0
62   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/paul/proj/blacklight/jetty/contexts/solr.xml
1856 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3190155 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&f.subject_topic_facet.facet.limit=21&facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=10&wt=ruby&facet=true&f.language_facet.facet.limit=11} hits=30 status=0 QTime=31 
3352427 [qtp1917513796-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=*:*} hits=0 status=0 QTime=11 
3356227 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=*:*} hits=0 status=0 QTime=8 
63670321 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={wt=xml} hits=30 status=0 QTime=28 
63686177 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={wt=xml} hits=30 status=0 QTime=7 
63736911 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={wt=xml} hits=30 status=0 QTime=5 
64035239 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&rows=10&wt=xml} hits=30 status=0 QTime=11 
64035440 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&rows=10&wt=xml} hits=30 status=0 QTime=6 
64100900 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={wt=xml} hits=30 status=0 QTime=28 
64101074 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&rows=10&wt=xml} hits=30 status=0 QTime=5 
64101227 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&rows=10&wt=xml} hits=30 status=0 QTime=5 
64132085 [qtp1917513796-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=sakae&wt=xml} hits=2 status=0 QTime=22 
64176734 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=sakae&wt=xml} hits=2 status=0 QTime=25 
64189630 [qtp1917513796-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=yoshida&wt=xml} hits=2 status=0 QTime=23 
64195014 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=author:yoshida&wt=xml} hits=0 status=0 QTime=14 
64202371 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=*:*&wt=xml} hits=0 status=0 QTime=7 
64206148 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={wt=xml} hits=30 status=0 QTime=8 
64206211 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&rows=10&wt=xml} hits=30 status=0 QTime=10 
64206263 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&rows=10&wt=xml} hits=30 status=0 QTime=4 
64220342 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=chorok&wt=xml} hits=1 status=0 QTime=22 
64645674 [qtp1917513796-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text:chorok&wt=xml} hits=0 status=0 QTime=10 
64649230 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=chorok&wt=xml} hits=1 status=0 QTime=14 
64656750 [qtp1917513796-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=bod&wt=xml} hits=3 status=0 QTime=22 
65041222 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=bod&wt=json} hits=3 status=0 QTime=19 
65113773 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=bod&wt=json} hits=3 status=0 QTime=12 
65648454 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={wt=json} hits=30 status=0 QTime=8 
65816098 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={wt=json} hits=30 status=0 QTime=6 
66667506 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&f.subject_topic_facet.facet.limit=21&facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=10&wt=ruby&facet=true&f.language_facet.facet.limit=11} hits=30 status=0 QTime=19 
66673121 [qtp1917513796-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&q=bod&f.subject_topic_facet.facet.limit=21&facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=10&wt=ruby&facet=true&f.language_facet.facet.limit=11} hits=3 status=0 QTime=28 
66682634 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={qt=document&id=2008308478&wt=ruby} hits=1 status=0 QTime=8 
66682671 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&fl=*&start=1&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=3&facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&q=bod&f.subject_topic_facet.facet.limit=21&wt=ruby&facet=false&f.language_facet.facet.limit=11} hits=3 status=0 QTime=12 
81363672 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&q=medicine&f.subject_topic_facet.facet.limit=21&facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=10&wt=ruby&facet=true&f.language_facet.facet.limit=11} hits=1 status=0 QTime=30 
81440406 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=("strong")&wt=json} hits=0 status=0 QTime=13 
81567962 [qtp1917513796-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"strong")&wt=json} hits=1 status=0 QTime=21 
81629902 [qtp1917513796-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=("strong")&wt=json} hits=0 status=0 QTime=13 
81641826 [qtp1917513796-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"strong")&wt=json} hits=1 status=0 QTime=15 
81645915 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"ebo")&wt=json} hits=0 status=0 QTime=9 
81652180 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&f.subject_topic_facet.facet.limit=21&facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=10&wt=ruby&facet=true&f.language_facet.facet.limit=11} hits=30 status=0 QTime=23 
81659596 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"bod")&wt=json} hits=0 status=0 QTime=10 
81664444 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"bod")&wt=json} hits=0 status=0 QTime=16 
81674373 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(title_display:"bod")&wt=json} hits=0 status=0 QTime=9 
81678751 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"strong")&wt=json} hits=1 status=0 QTime=18 
81720202 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"strong")&wt=json} hits=1 status=0 QTime=13 
81859329 [qtp1917513796-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"strong")&wt=json} hits=1 status=0 QTime=27 
81873203 [qtp1917513796-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"strong")&wt=json} hits=1 status=0 QTime=14 
81885749 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"hearth")&wt=json} hits=1 status=0 QTime=15 
81890860 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(author_display:"hearth")&wt=json} hits=0 status=0 QTime=8 
81896542 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"new+york")&wt=json} hits=1 status=0 QTime=40 
81909035 [qtp1917513796-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"dris")&wt=json} hits=0 status=0 QTime=14 
81921685 [qtp1917513796-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"dharamsala")&wt=json} hits=0 status=0 QTime=15 
81929973 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&q=Dharamsala&f.subject_topic_facet.facet.limit=21&facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=10&wt=ruby&facet=true&f.language_facet.facet.limit=11} hits=4 status=0 QTime=21 
81943006 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(*:"dharamsala")&wt=json} hits=0 status=0 QTime=12 
82153818 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=(text:"dharamsala")&wt=json} hits=0 status=0 QTime=13 
82207059 [qtp1917513796-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={text=dharamsala&wt=json} hits=30 status=0 QTime=11 
82207088 [qtp1917513796-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&text=dharamsala&rows=10&wt=json&wt=json} hits=30 status=0 QTime=6 
82207115 [qtp1917513796-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&text=dharamsala&rows=10&wt=json&wt=json} hits=30 status=0 QTime=8 
82214689 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={text=bod&wt=json} hits=30 status=0 QTime=8 
82214714 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&text=bod&rows=10&wt=json&wt=json} hits=30 status=0 QTime=5 
82214733 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&text=bod&rows=10&wt=json&wt=json} hits=30 status=0 QTime=8 
82249301 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={text=bod&wt=json} hits=30 status=0 QTime=5 
82249323 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&text=bod&rows=10&wt=json&wt=json} hits=30 status=0 QTime=4 
82249341 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&text=bod&rows=10&wt=json&wt=json} hits=30 status=0 QTime=5 
82278855 [qtp1917513796-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={text=次按驟變&wt=json} hits=30 status=0 QTime=7 
82278876 [qtp1917513796-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&text=次按驟變&rows=10&wt=json&wt=json} hits=30 status=0 QTime=5 
82278891 [qtp1917513796-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&text=次按驟變&rows=10&wt=json&wt=json} hits=30 status=0 QTime=4 
82290767 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={id=2009373513&wt=json} hits=30 status=0 QTime=7 
82290792 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&id=2009373513&rows=10&wt=json&wt=json} hits=30 status=0 QTime=6 
82290861 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&id=2009373513&rows=10&wt=json&wt=json} hits=30 status=0 QTime=9 
82299439 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={text=ci&wt=json} hits=30 status=0 QTime=7 
82299462 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&text=ci&rows=10&wt=json&wt=json} hits=30 status=0 QTime=4 
82299485 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&text=ci&rows=10&wt=json&wt=json} hits=30 status=0 QTime=4 
82314377 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={text=ci&wt=json} hits=30 status=0 QTime=5 
82314397 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=10&text=ci&rows=10&wt=json&wt=json} hits=30 status=0 QTime=4 
82314418 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={start=20&text=ci&rows=10&wt=json&wt=json} hits=30 status=0 QTime=4 
82393300 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text:Sakae&wt=json} hits=0 status=0 QTime=11 
82429834 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=id:2008543486&wt=json} hits=0 status=0 QTime=8 
82475337 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text:yomu&wt=json} hits=0 status=0 QTime=11 
82478557 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text::yomu&wt=json} hits=4 status=0 QTime=18 
82548649 [qtp1917513796-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text::ישראל&wt=json} hits=2 status=0 QTime=14 
82557392 [qtp1917513796-13] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text::strong&wt=json} hits=2 status=0 QTime=13 
82560762 [qtp1917513796-11] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text::&wt=json} hits=2 status=0 QTime=9 
82563829 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text:,&wt=json} hits=2 status=0 QTime=8 
82569826 [qtp1917513796-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=text:israel&wt=json} hits=0 status=0 QTime=7 
82620878 [qtp1917513796-20] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=israel&wt=json} hits=2 status=0 QTime=11 
82628276 [qtp1917513796-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=insurance&wt=json} hits=1 status=0 QTime=8 
82631583 [qtp1917513796-19] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=yomu&wt=json} hits=2 status=0 QTime=7 
82644636 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=id:2008543486&wt=json} hits=0 status=0 QTime=9 
89264805 [qtp1917513796-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&q=bod&f.subject_topic_facet.facet.limit=21&facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=10&wt=ruby&facet=true&f.language_facet.facet.limit=11} hits=3 status=0 QTime=21 
235406248 [qtp1917513796-18] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet.query=pub_date:[2010+TO+*]&facet.query=pub_date:[2005+TO+*]&facet.query=pub_date:[1990+TO+*]&q=Dharamsala&f.subject_topic_facet.facet.limit=21&facet.field=format&facet.field={!ex%3Dpub_date_single}pub_date&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&qt=search&facet.pivot=format,language_facet&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&rows=10&wt=ruby&facet=true&f.language_facet.facet.limit=11} hits=4 status=0 QTime=37 
254896172 [qtp1917513796-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=strong&wt=json} hits=1 status=0 QTime=13 
254907867 [qtp1917513796-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={q=medicine&wt=json} hits=1 status=0 QTime=8 
